user_id,item_id,event_type,rating,timestamp
U0271,I0091,view,,2024-06-23T20:00:00
U0420,I0129,purchase,4.8,2024-05-22T13:00:00
U0269,I0138,view,,2024-12-25T04:00:00
U0394,I0100,purchase,3.5,2024-08-18T14:00:00
U0058,I0061,add_to_cart,,2024-11-02T20:00:00
U0350,I0161,add_to_cart,,2024-06-22T14:00:00
U0160,I0026,view,,2024-03-09T18:00:00
U0117,I0120,purchase,3.6,2024-03-02T15:00:00
U0197,I0142,view,,2024-02-05T13:00:00
U0256,I0075,view,,2024-10-12T03:00:00
U0435,I0035,view,,2024-11-03T02:00:00
U0095,I0015,add_to_cart,,2024-11-28T16:00:00
U0076,I0166,view,,2024-02-05T05:00:00
U0262,I0076,view,,2024-12-20T23:00:00
U0201,I0118,add_to_cart,,2024-06-30T14:00:00
U0470,I0144,view,,2024-01-14T18:00:00
U0227,I0125,view,,2024-06-05T06:00:00
U0289,I0197,view,,2024-02-14T11:00:00
U0221,I0132,view,,2024-08-13T10:00:00
U0354,I0191,add_to_cart,,2024-02-20T14:00:00
U0332,I0088,view,,2024-04-27T03:00:00
U0371,I0118,view,,2024-05-04T14:00:00
U0227,I0006,view,,2024-11-12T04:00:00
U0128,I0092,add_to_cart,,2024-03-30T04:00:00
U0373,I0025,purchase,4.4,2024-11-21T11:00:00
U0076,I0007,view,,2024-07-05T11:00:00
U0283,I0183,view,,2024-03-01T03:00:00
U0289,I0172,view,,2024-03-27T00:00:00
U0063,I0049,view,,2024-07-01T15:00:00
U0378,I0085,add_to_cart,,2024-10-29T12:00:00
U0081,I0186,purchase,4.2,2024-04-08T11:00:00
U0161,I0190,view,,2024-01-02T21:00:00
U0091,I0181,view,,2024-04-11T06:00:00
U0422,I0144,view,,2024-08-13T23:00:00
U0420,I0191,view,,2024-05-20T23:00:00
U0224,I0015,view,,2024-11-24T11:00:00
U0137,I0034,view,,2024-12-08T00:00:00
U0486,I0106,add_to_cart,,2024-10-07T16:00:00
U0456,I0162,add_to_cart,,2024-11-22T04:00:00
U0029,I0114,view,,2024-11-15T20:00:00
U0444,I0173,view,,2024-02-21T03:00:00
U0479,I0087,view,,2024-11-16T21:00:00
U0013,I0153,purchase,2.4,2024-06-21T07:00:00
U0011,I0046,add_to_cart,,2024-01-15T21:00:00
U0163,I0115,view,,2024-12-19T19:00:00
U0152,I0190,view,,2024-10-20T13:00:00
U0207,I0008,add_to_cart,,2024-12-10T07:00:00
U0164,I0188,purchase,3.9,2024-05-13T08:00:00
U0233,I0157,view,,2024-07-02T16:00:00
U0000,I0146,add_to_cart,,2024-11-12T14:00:00
U0083,I0164,view,,2024-12-13T21:00:00
U0022,I0064,add_to_cart,,2024-09-20T11:00:00
U0250,I0042,view,,2024-08-23T13:00:00
U0461,I0012,add_to_cart,,2024-10-02T05:00:00
U0310,I0112,view,,2024-09-21T15:00:00
U0120,I0113,view,,2024-03-07T13:00:00
U0151,I0126,view,,2024-04-08T19:00:00
U0093,I0052,add_to_cart,,2024-08-10T05:00:00
U0408,I0180,view,,2024-11-24T12:00:00
U0472,I0005,view,,2024-09-23T12:00:00
U0183,I0059,view,,2024-02-01T21:00:00
U0190,I0186,view,,2024-02-17T04:00:00
U0165,I0018,purchase,4.5,2024-08-27T17:00:00
U0269,I0003,view,,2024-02-05T09:00:00
U0242,I0121,view,,2024-12-11T10:00:00
U0296,I0068,view,,2024-05-19T12:00:00
U0022,I0189,purchase,4.0,2024-03-29T08:00:00
U0071,I0069,purchase,3.6,2024-02-17T04:00:00
U0257,I0108,add_to_cart,,2024-02-11T19:00:00
U0115,I0143,view,,2024-12-26T23:00:00
U0186,I0138,view,,2024-07-04T05:00:00
U0330,I0169,add_to_cart,,2024-09-14T03:00:00
U0137,I0012,purchase,5.0,2024-04-09T14:00:00
U0400,I0099,view,,2024-05-21T19:00:00
U0111,I0197,view,,2024-07-19T07:00:00
U0032,I0168,view,,2024-11-23T09:00:00
U0264,I0095,purchase,5.0,2024-01-28T16:00:00
U0167,I0124,view,,2024-04-29T02:00:00
U0398,I0023,purchase,3.1,2024-01-13T01:00:00
U0088,I0090,view,,2024-07-16T11:00:00
U0366,I0060,view,,2024-07-16T09:00:00
U0049,I0065,view,,2024-03-14T16:00:00
U0203,I0020,view,,2024-03-29T23:00:00
U0297,I0192,purchase,5.0,2024-09-08T18:00:00
U0102,I0127,view,,2024-01-26T09:00:00
U0215,I0192,view,,2024-10-24T09:00:00
U0438,I0129,purchase,3.0,2024-11-22T06:00:00
